"","연월","station","합계_승차수.명.","합계_하차수.명.","KTX_승차수.명.","KTX_하차수.명.","새마을_승차수.명.","새마을_하차수.명.","무궁화_승차수.명.","무궁화_하차수.명..","통근열차_승차수.명.","통근열차_하차수.명.","누리로_승차수.명.","누리로_하차수.명.","KTX산천_승차수.명.","KTX산천_하차수.명.","ITX새마을_승차수.명.","ITX새마을_하차수.명.","ITX청춘열차_승차수.명.","ITX청춘열차_하차수.명.","KTX호남_승차수.명.","KTX호남_하차수.명."
"552",201804,"용문",8426,8252,0,0,0,0,7861,7810,0,0,0,0,0,0,565,442,0,0,0,0
"553",201804,"지평",1548,1363,0,0,0,0,1548,1363,0,0,0,0,0,0,0,0,0,0,0,0
"554",201804,"석불",88,67,0,0,0,0,88,67,0,0,0,0,0,0,0,0,0,0,0,0
"555",201804,"일신",397,396,0,0,0,0,397,396,0,0,0,0,0,0,0,0,0,0,0,0
"556",201804,"매곡",571,493,0,0,0,0,571,493,0,0,0,0,0,0,0,0,0,0,0,0
"557",201804,"양동",5870,6283,0,0,0,0,5870,6283,0,0,0,0,0,0,0,0,0,0,0,0
"558",201804,"삼산",170,182,0,0,0,0,170,182,0,0,0,0,0,0,0,0,0,0,0,0
"559",201804,"중동",199,199,0,0,0,0,199,199,0,0,0,0,0,0,0,0,0,0,0,0
"560",201804,"행신",58717,53707,42665,33093,0,0,0,0,0,0,0,0,15684,19037,0,0,0,0,368,1577
"561",201804,"백마",454,454,0,0,0,0,454,454,0,0,0,0,0,0,0,0,0,0,0,0
"562",201804,"문산",140,124,0,0,140,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"563",201804,"운천",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"564",201804,"임진강",79,99,0,0,79,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"565",201804,"도라산",1551,1550,0,0,1551,1550,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"566",201804,"의정부",422,414,0,0,243,235,179,179,0,0,0,0,0,0,0,0,0,0,0,0
"567",201804,"덕정",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"568",201804,"동두천중앙",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"569",201804,"동두천",17862,20151,0,0,20,12,126,126,17716,20013,0,0,0,0,0,0,0,0,0,0
"570",201804,"소요산",884,220,0,0,4,6,0,0,880,214,0,0,0,0,0,0,0,0,0,0
"571",201804,"초성리",61,8,0,0,0,0,0,0,61,8,0,0,0,0,0,0,0,0,0,0
"572",201804,"한탄강",30,17,0,0,0,0,0,0,30,17,0,0,0,0,0,0,0,0,0,0
"573",201804,"전곡",2751,406,0,0,0,0,0,0,2751,406,0,0,0,0,0,0,0,0,0,0
"574",201804,"연천",3965,460,0,0,168,13,0,0,3797,447,0,0,0,0,0,0,0,0,0,0
"575",201804,"신망리",118,189,0,0,0,0,0,0,118,189,0,0,0,0,0,0,0,0,0,0
"576",201804,"대광리",220,217,0,0,0,0,0,0,220,217,0,0,0,0,0,0,0,0,0,0
"577",201804,"신탄리",4047,607,0,0,13,179,0,0,4034,428,0,0,0,0,0,0,0,0,0,0
"578",201804,"퇴계원",1976,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1976,1012,0,0
"579",201804,"평내호평",37449,31771,0,0,538,585,0,0,0,0,0,0,0,0,0,0,36911,31186,0,0
"580",201804,"마석",3055,2080,0,0,382,382,0,0,0,0,0,0,0,0,0,0,2673,1698,0,0
"581",201804,"가평",36251,39179,0,0,671,0,0,0,0,0,0,0,0,0,0,0,35580,39179,0,0
"582",201804,"광명",372541,370156,263978,267321,0,0,0,0,0,0,0,0,86741,87626,0,0,0,0,4167,5526
"583",201805,"안양",18823,14428,0,0,0,0,14639,10915,0,0,4184,3513,0,0,0,0,0,0,0,0
"584",201805,"의왕",810,810,0,0,0,0,810,810,0,0,0,0,0,0,0,0,0,0,0,0
"585",201805,"수원",499211,511508,51047,54977,25350,23011,318731,326944,0,0,19326,15346,0,0,84757,91230,0,0,0,0
"586",201805,"오산",8943,8826,0,0,0,0,5167,5527,0,0,3776,3299,0,0,0,0,0,0,0,0
"587",201805,"서정리",2589,2771,0,0,0,0,1413,1499,0,0,1176,1272,0,0,0,0,0,0,0,0
"588",201805,"평택",190581,194866,0,0,7277,4097,154394,163199,0,0,9941,7362,0,0,18969,20208,0,0,0,0
"589",201805,"도농",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"590",201805,"덕소",2199,2123,0,0,304,284,1895,1839,0,0,0,0,0,0,0,0,0,0,0,0
"591",201805,"양평",37581,36113,0,0,0,0,27796,27541,0,0,0,0,50,16,315,921,0,0,9420,7635
"592",201805,"용문",10142,9858,0,0,0,0,9246,9214,0,0,0,0,0,0,896,644,0,0,0,0
"593",201805,"지평",1192,989,0,0,0,0,1192,989,0,0,0,0,0,0,0,0,0,0,0,0
"594",201805,"석불",108,97,0,0,0,0,108,97,0,0,0,0,0,0,0,0,0,0,0,0
"595",201805,"일신",600,539,0,0,0,0,600,539,0,0,0,0,0,0,0,0,0,0,0,0
"596",201805,"매곡",652,555,0,0,0,0,652,555,0,0,0,0,0,0,0,0,0,0,0,0
"597",201805,"양동",6782,7001,0,0,0,0,6782,7001,0,0,0,0,0,0,0,0,0,0,0,0
"598",201805,"삼산",182,192,0,0,0,0,182,192,0,0,0,0,0,0,0,0,0,0,0,0
"599",201805,"행신",67733,63351,48883,38052,0,0,0,0,0,0,0,0,17951,20484,0,0,0,0,899,4815
