"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201701","합 계","10408694","10408694","3679305","3679305","217049","217049","4091538","4091538","30782","30782","145539","145539","1046240","1046240","703529","703529","456732","456732","37980","37980"
"201701","서울","1225108","1246126","857090","872564","4701","5017","194092","183276","0","0","1312","1343","124984","136448","39968","44364","0","0","2961","3114"
"201701","용산","679186","714741","225833","247150","21085","21460","112430","106910","0","0","9683","12131","148617","159427","21575","21923","135089","141553","4874","4187"
"201701","영등포","360269","356106","8199","7986","20828","23879","268102","254072","0","0","12558","14521","0","0","50582","55648","0","0","0","0"
"201701","안양","15196","11950","0","0","0","0","13576","10145","0","0","1620","1805","0","0","0","0","0","0","0","0"
"201701","수원","462949","476681","48202","51885","22489","20908","290645","296686","0","0","13433","14225","0","0","83078","87705","0","0","5102","5272"
"201701","오산","5552","6405","0","0","0","0","3847","5308","0","0","1705","1097","0","0","0","0","0","0","0","0"
"201701","서정리","1143","1381","0","0","0","0","1143","1381","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","평택","169595","174362","0","0","6641","4486","138922","145010","0","0","6195","6746","0","0","17837","18120","0","0","0","0"
"201701","성환","1342","1690","0","0","0","0","721","635","0","0","621","1055","0","0","0","0","0","0","0","0"
"201701","천안","212516","217537","0","0","15202","12399","152969","160939","0","0","7432","7814","0","0","36913","36385","0","0","0","0"
"201701","소정리","95","110","0","0","0","0","95","110","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","전의","3558","3764","0","0","0","0","3197","3626","0","0","361","138","0","0","0","0","0","0","0","0"
"201701","조치원","117856","118709","0","0","0","0","98555","100662","0","0","5550","5822","0","0","13751","12225","0","0","0","0"
"201701","부강","4256","4137","0","0","0","0","3556","3829","0","0","700","308","0","0","0","0","0","0","0","0"
"201701","신탄진","55414","53995","0","0","0","0","50934","49379","0","0","4480","4616","0","0","0","0","0","0","0","0"
"201701","대전","596779","596098","300079","304855","0","0","187039","192806","0","0","1521","1521","54519","48979","51214","45715","0","0","2407","2222"
"201701","옥천","15163","15211","0","0","0","0","15163","15211","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","이원","1038","789","0","0","0","0","1038","789","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","지탄","36","23","0","0","0","0","36","23","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","심천","617","593","0","0","0","0","617","593","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","각계","26","1","0","0","0","0","26","1","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","영동","41907","42584","0","0","0","0","37001","38810","0","0","0","0","0","0","4906","3774","0","0","0","0"
"201701","황간","3115","2881","0","0","0","0","3115","2881","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","추풍령","1245","1160","0","0","0","0","1245","1160","0","0","0","0","0","0","0","0","0","0","0","0"
"201701","김천","77665","76123","0","0","0","0","58845","57454","0","0","0","0","0","0","18820","18669","0","0","0","0"
"201701","구미","194431","196770","0","0","0","0","142232","142448","0","0","0","0","0","0","52199","54322","0","0","0","0"
"201701","사곡","1078","1141","0","0","0","0","1078","1141","0","0","0","0","0","0","0","0","0","0","0","0"
