"연월","station","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201901","안양","16545","13161","0","0","0","0","13945","10647","0","0","2600","2514","0","0","0","0","0","0","0","0"
"201901","수원","455670","469296","51929","56387","21082","18201","289507","292040","0","0","18642","17968","0","0","74510","84700","0","0","0","0"
"201901","오산","7611","7529","0","0","0","0","4608","4813","0","0","3003","2716","0","0","0","0","0","0","0","0"
"201901","서정리","1875","2053","0","0","0","0","904","1081","0","0","971","972","0","0","0","0","0","0","0","0"
"201901","평택","179689","182781","0","0","5402","3232","144856","148248","0","0","10909","9909","0","0","18522","21392","0","0","0","0"
"201901","도농","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","덕소","1280","1369","0","0","0","0","1280","1369","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","양평","37360","35495","0","0","0","0","25791","25442","0","0","0","0","0","0","271","825","0","0","11298","9228"
"201901","용문","8929","8375","0","0","0","0","8241","7999","0","0","0","0","0","0","688","376","0","0","0","0"
"201901","지평","1114","970","0","0","0","0","1114","970","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","석불","37","22","0","0","0","0","37","22","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","일신","315","244","0","0","0","0","315","244","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","매곡","373","264","0","0","0","0","373","264","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","양동","4981","5211","0","0","0","0","4981","5211","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","삼산","106","89","0","0","0","0","106","89","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","행신","63129","57808","43625","33275","0","0","0","0","0","0","0","0","18253","20774","0","0","0","0","1251","3759"
"201901","문산","71","63","0","0","71","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","운천","1","1","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","임진강","42","63","0","0","42","63","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","도라산","1191","1194","0","0","1191","1194","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","의정부","586","313","0","0","586","313","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201901","동두천","12150","14626","0","0","9","16","0","0","12141","14610","0","0","0","0","0","0","0","0","0","0"
"201901","소요산","616","156","0","0","5","3","0","0","611","153","0","0","0","0","0","0","0","0","0","0"
"201901","초성리","1","9","0","0","0","0","0","0","1","9","0","0","0","0","0","0","0","0","0","0"
"201901","한탄강","19","12","0","0","0","0","0","0","19","12","0","0","0","0","0","0","0","0","0","0"
"201901","전곡","2050","91","0","0","0","0","0","0","2050","91","0","0","0","0","0","0","0","0","0","0"
"201901","연천","2962","389","0","0","74","13","0","0","2888","376","0","0","0","0","0","0","0","0","0","0"
"201901","신망리","43","74","0","0","0","0","0","0","43","74","0","0","0","0","0","0","0","0","0","0"
"201901","대광리","174","135","0","0","0","0","0","0","174","135","0","0","0","0","0","0","0","0","0","0"
"201901","신탄리","2032","255","0","0","6","117","0","0","2026","138","0","0","0","0","0","0","0","0","0","0"
"201901","퇴계원","1995","1051","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1995","1051","0","0"
"201901","평내호평","36646","31417","0","0","0","0","0","0","0","0","0","0","0","0","0","0","36646","31417","0","0"
"201901","마석","2853","1950","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2853","1950","0","0"
"201901","가평","28246","31226","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28246","31226","0","0"
"201901","광명","390619","386503","270220","280005","0","0","0","0","0","0","0","0","90276","88352","0","0","0","0","5112","4112"
"201902","안양","16149","12882","0","0","0","0","13793","10420","0","0","2356","2462","0","0","0","0","0","0","0","0"
"201902","수원","477589","484886","59565","61389","23803","20413","297950","300184","0","0","18055","17416","0","0","78216","85484","0","0","0","0"
"201902","오산","6882","6750","0","0","0","0","4094","4157","0","0","2788","2593","0","0","0","0","0","0","0","0"
"201902","서정리","1687","1745","0","0","0","0","788","948","0","0","899","797","0","0","0","0","0","0","0","0"
"201902","평택","181123","181411","0","0","5529","3451","145645","147849","0","0","10803","8931","0","0","19146","21180","0","0","0","0"
"201902","덕소","1415","1551","0","0","0","0","1415","1551","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","양평","36894","34400","0","0","0","0","25998","25002","0","0","0","0","0","0","328","906","0","0","10568","8492"
"201902","용문","8950","8546","0","0","0","0","8262","8113","0","0","0","0","0","0","688","433","0","0","0","0"
"201902","지평","1072","939","0","0","0","0","1072","939","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","석불","32","31","0","0","0","0","32","31","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","일신","338","298","0","0","0","0","338","298","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","매곡","355","264","0","0","0","0","355","264","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","양동","5098","5421","0","0","0","0","5098","5421","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","삼산","98","94","0","0","0","0","98","94","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","행신","66152","61954","47610","36446","0","0","0","0","0","0","0","0","17284","23461","0","0","0","0","1258","2047"
"201902","문산","81","93","0","0","81","93","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","운천","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","임진강","64","106","0","0","64","106","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","도라산","1078","1119","0","0","1078","1119","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","의정부","30","34","0","0","30","34","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","덕정","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","동두천중앙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201902","동두천","11963","14066","0","0","14","6","286","286","11663","13774","0","0","0","0","0","0","0","0","0","0"
"201902","소요산","694","186","0","0","5","8","0","0","689","178","0","0","0","0","0","0","0","0","0","0"
"201902","초성리","31","12","0","0","0","0","0","0","31","12","0","0","0","0","0","0","0","0","0","0"
"201902","한탄강","36","16","0","0","0","0","0","0","36","16","0","0","0","0","0","0","0","0","0","0"
"201902","전곡","2032","217","0","0","0","0","0","0","2032","217","0","0","0","0","0","0","0","0","0","0"
"201902","연천","2852","363","0","0","139","22","0","0","2713","341","0","0","0","0","0","0","0","0","0","0"
"201902","신망리","71","97","0","0","0","0","0","0","71","97","0","0","0","0","0","0","0","0","0","0"
"201902","대광리","153","134","0","0","0","0","0","0","153","134","0","0","0","0","0","0","0","0","0","0"
"201902","신탄리","1992","341","0","0","6","135","0","0","1986","206","0","0","0","0","0","0","0","0","0","0"
"201902","퇴계원","1586","749","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1586","749","0","0"
"201902","평내호평","34716","29920","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34716","29920","0","0"
"201902","마석","2321","1548","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2321","1548","0","0"
"201902","가평","28116","31992","0","0","0","0","0","0","0","0","0","0","0","0","0","0","28116","31992","0","0"
"201902","광명","385472","377538","276117","280396","0","0","0","0","0","0","0","0","87220","83710","0","0","0","0","3029","2658"
"201903","안양","18500","13815","0","0","0","0","15174","11087","0","0","3326","2728","0","0","0","0","0","0","0","0"
"201903","수원","497804","512316","50813","55323","24012","21654","318019","324038","0","0","20885","19417","0","0","84075","91884","0","0","0","0"
"201903","오산","7874","7681","0","0","0","0","4651","4776","0","0","3223","2905","0","0","0","0","0","0","0","0"
"201903","서정리","2012","2461","0","0","0","0","919","1112","0","0","1093","1349","0","0","0","0","0","0","0","0"
"201903","평택","198616","200174","0","0","6223","3884","158415","161142","0","0","12036","10779","0","0","21942","24369","0","0","0","0"
"201903","덕소","2046","2014","0","0","0","0","2046","2014","0","0","0","0","0","0","0","0","0","0","0","0"
