"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"202006","오근장","7526","7429","0","0","0","0","7526","7429","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","청주공항","2435","2664","0","0","0","0","2435","2664","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","증평","6143","5768","0","0","0","0","6143","5768","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","음성","3573","3958","0","0","0","0","3573","3958","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","주덕","2434","2350","0","0","0","0","2434","2350","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","충주","17231","16787","0","0","0","0","17231","16787","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","삼탄","117","143","0","0","0","0","117","143","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","아산","21835","19739","0","0","6874","6188","14961","13551","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","온양온천","18451","17542","0","0","4968","4776","13483","12766","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","도고온천","983","973","0","0","0","0","983","973","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","신례원","3787","4024","0","0","267","281","3520","3743","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","예산","18302","18756","0","0","5093","5529","13209","13227","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","삽교","6434","6110","0","0","828","1215","5606","4895","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","홍성","32448","32755","0","0","9001","9674","23447","23081","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","광천","7940","7797","0","0","2244","2618","5696","5179","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","청소","409","382","0","0","0","0","409","382","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","대천","29670","30335","0","0","8792","10294","20878","20041","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","웅천","3643","3840","0","0","1094","1255","2549","2585","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","판교","1106","1121","0","0","0","0","1106","1121","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","서천","7157","7472","0","0","1976","2394","5181","5078","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","장항","2532","2582","0","0","680","872","1852","1710","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","군산","10378","10810","0","0","3093","3438","7285","7372","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","대야","208","205","0","0","0","0","208","205","0","0","0","0","0","0","0","0","0","0","0","0"
"202006","행신","45136","43606","30824","25608","0","0","0","0","0","0","0","0","14312","14551","0","0","0","0","0","3447"
"202006","옥수","1180","1380","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1180","1380","0","0"
"202006","왕십리","6734","10581","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6734","10581","0","0"
"202006","청량리","172279","174166","0","0","0","0","52911","53865","0","0","17864","19853","0","0","5831","4291","45404","46039","50269","50118"
