,area,cfmDate,route,contractCnt
153,인천,2020-08-17,타지역확진자접촉,-
154,인천,2020-08-17,타지역확진자접촉,-
155,인천,2020-08-17,인-419접촉,-
156,인천,2020-08-17,인-419의가족,-
157,인천,2020-08-17,타지역확진자접촉,-
158,인천,2020-08-17,인-412가족,-
159,인천,2020-08-17,타지역확진자접촉,-
160,인천,2020-08-16,타지역확진자접촉,-
161,인천,2020-08-16,타지역확진자접촉,-
162,인천,2020-08-16,타지역확진자접촉,-
163,인천,2020-08-16,타지역확진자접촉,-
164,인천,2020-08-16,타지역확진자접촉,-
165,인천,2020-08-16,인-413가족,-
166,인천,2020-08-16,인-409접촉,-
167,인천,2020-08-16,타지역확진자접촉,-
168,인천,2020-08-16,타지역확진자접촉,-
169,인천,2020-08-15,타지역확진자접촉,-
170,인천,2020-08-15,인-405가족,-
171,인천,2020-08-15,인-405가족,-
172,인천,2020-08-15,타지역확진자접촉,-
173,인천,2020-08-15,타지역확진자접촉,-
174,인천,2020-08-15,구월4동거주,-
175,인천,2020-08-15,해외입국일본,-
176,인천,2020-08-15,인-397가족,-
177,인천,2020-08-15,인-397가족,-
178,인천,2020-08-14,타지역확진자접촉,-
179,인천,2020-08-14,타지역확진자접촉,-
180,인천,2020-08-14,타지역확진자접촉,-
181,인천,2020-08-14,타지역확진자접촉,-
182,인천,2020-08-14,타지역확진자접촉,-
183,인천,2020-08-14,타지역확진자접촉,-
184,인천,2020-08-14,-,-
185,인천,2020-08-14,타지역확진자접촉,-
186,인천,2020-08-13,타지역확진자접촉,-
187,인천,2020-08-13,타지역확진자접촉,-
188,인천,2020-08-13,타지역확진자접촉,-
189,인천,2020-08-13,해외입국미국,-
190,인천,2020-08-08,옥련1동,-
191,인천,2020-08-07,타지역확진자접촉,-
192,인천,2020-08-06,타지역확진자접촉,-
193,인천,2020-08-04,타지역확진자접촉,-
194,인천,2020-08-04,송도4동,-
195,인천,2020-07-31,해외입국감비아세네갈,-
196,인천,2020-07-28,만수4동거주,-
197,인천,2020-07-27,해외입국우즈베키스탄,-
198,인천,2020-07-27,해외입국우즈베키스탄,-
199,인천,2020-07-22,인천확진자375접촉,-
