"연월","station","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"202001","안양","15832","12397","0","0","0","0","14307","10766","0","0","1525","1631","0","0","0","0","0","0","0","0"
"202001","수원","479130","487388","61733","65380","24168","21910","291492","289072","0","0","16912","16630","0","0","84825","94396","0","0","0","0"
"202001","오산","6417","6441","0","0","0","0","4664","4762","0","0","1753","1679","0","0","0","0","0","0","0","0"
"202001","서정리","1630","1598","0","0","0","0","1108","1259","0","0","522","339","0","0","0","0","0","0","0","0"
"202001","평택","186326","187773","0","0","5861","3541","150736","152665","0","0","9680","8393","0","0","20049","23174","0","0","0","0"
"202001","도농","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","덕소","1465","1403","0","0","0","0","1465","1403","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","양평","38853","36661","0","0","0","0","26805","25114","0","0","0","0","0","0","326","842","0","0","11722","10705"
"202001","용문","9922","9700","0","0","0","0","9176","9263","0","0","0","0","0","0","746","437","0","0","0","0"
"202001","지평","1165","1030","0","0","0","0","1165","1030","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","석불","73","52","0","0","0","0","73","52","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","일신","331","294","0","0","0","0","331","294","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","매곡","420","321","0","0","0","0","420","321","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","양동","5075","5456","0","0","0","0","5075","5456","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","삼산","164","126","0","0","0","0","164","126","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","행신","74463","72701","53403","45150","0","0","0","0","0","0","0","0","20426","27551","0","0","0","0","634","0"
"202001","의정부","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","덕정","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","동두천중앙","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","동두천","268","298","0","0","0","0","268","298","0","0","0","0","0","0","0","0","0","0","0","0"
"202001","퇴계원","1655","1027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1655","1027","0","0"
"202001","평내호평","35267","30614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","35267","30614","0","0"
"202001","마석","2510","1497","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2510","1497","0","0"
"202001","가평","27152","28614","0","0","0","0","0","0","0","0","0","0","0","0","0","0","27152","28614","0","0"
"202001","광명","442569","440741","316699","326562","0","0","0","0","0","0","0","0","97026","97391","0","0","0","0","5396","3539"
"202002","안양","11545","9029","0","0","0","0","10010","7519","0","0","1535","1510","0","0","0","0","0","0","0","0"
"202002","수원","283990","293915","29338","32911","12276","10479","187200","189169","0","0","10223","8021","0","0","44953","53335","0","0","0","0"
"202002","오산","5537","5319","0","0","0","0","3636","3466","0","0","1901","1853","0","0","0","0","0","0","0","0"
"202002","서정리","1600","1609","0","0","0","0","953","1120","0","0","647","489","0","0","0","0","0","0","0","0"
"202002","평택","121131","121525","0","0","3583","1810","99082","101330","0","0","6458","4437","0","0","12008","13948","0","0","0","0"
"202002","덕소","920","1017","0","0","0","0","920","1017","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","양평","24096","22843","0","0","0","0","16741","15906","0","0","0","0","0","0","170","496","0","0","7185","6441"
"202002","용문","6159","6105","0","0","0","0","5706","5828","0","0","0","0","0","0","453","277","0","0","0","0"
"202002","지평","699","678","0","0","0","0","699","678","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","석불","70","40","0","0","0","0","70","40","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","일신","249","227","0","0","0","0","249","227","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","매곡","276","210","0","0","0","0","276","210","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","양동","3032","3215","0","0","0","0","3032","3215","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","삼산","106","113","0","0","0","0","106","113","0","0","0","0","0","0","0","0","0","0","0","0"
"202002","행신","38407","38027","25412","22202","0","0","0","0","0","0","0","0","12705","15825","0","0","0","0","290","0"
"202002","퇴계원","1480","951","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1480","951","0","0"
"202002","평내호평","26945","22268","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26945","22268","0","0"
"202002","마석","2390","1291","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2390","1291","0","0"
"202002","가평","18298","19318","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18298","19318","0","0"
"202002","광명","245985","245310","171299","174560","0","0","0","0","0","0","0","0","61737","62485","0","0","0","0","3266","1994"
"202003","안양","8903","6869","0","0","0","0","8044","6104","0","0","859","765","0","0","0","0","0","0","0","0"
"202003","수원","189782","193002","12357","13149","7512","6037","139464","138182","0","0","3362","2251","0","0","27087","33383","0","0","0","0"
"202003","오산","4531","4325","0","0","0","0","3554","3019","0","0","977","1306","0","0","0","0","0","0","0","0"
"202003","서정리","1356","1332","0","0","0","0","800","883","0","0","556","449","0","0","0","0","0","0","0","0"
"202003","평택","84053","84560","0","0","2518","1324","72170","72674","0","0","1877","1465","0","0","7488","9097","0","0","0","0"
"202003","덕소","594","752","0","0","0","0","322","443","0","0","272","309","0","0","0","0","0","0","0","0"
"202003","양평","17167","16557","0","0","0","0","8788","8687","0","0","3467","2748","0","0","141","427","0","0","4771","4695"
"202003","용문","4276","4233","0","0","0","0","3229","3334","0","0","770","730","0","0","277","169","0","0","0","0"
"202003","지평","522","452","0","0","0","0","499","231","0","0","23","221","0","0","0","0","0","0","0","0"
"202003","석불","78","40","0","0","0","0","77","26","0","0","1","14","0","0","0","0","0","0","0","0"
"202003","일신","212","198","0","0","0","0","129","101","0","0","83","97","0","0","0","0","0","0","0","0"
"202003","매곡","229","183","0","0","0","0","187","88","0","0","42","95","0","0","0","0","0","0","0","0"
"202003","양동","2050","2167","0","0","0","0","1351","1436","0","0","699","731","0","0","0","0","0","0","0","0"
"202003","삼산","70","70","0","0","0","0","41","40","0","0","29","30","0","0","0","0","0","0","0","0"
"202003","행신","21607","20281","13817","10818","0","0","0","0","0","0","0","0","7790","7299","0","0","0","0","0","2164"
"202003","퇴계원","1465","886","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1465","886","0","0"
"202003","평내호평","21117","17430","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21117","17430","0","0"
"202003","마석","2408","1270","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2408","1270","0","0"
"202003","가평","10258","10470","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10258","10470","0","0"
"202003","광명","131152","127502","90138","87872","0","0","0","0","0","0","0","0","36340","34914","0","0","0","0","2897","1934"
"202004","안양","10335","8014","0","0","0","0","9276","7136","0","0","1059","878","0","0","0","0","0","0","0","0"
"202004","수원","247956","247504","19499","19676","10186","8173","175817","173406","0","0","3928","2809","0","0","38526","43440","0","0","0","0"
"202004","오산","5086","4916","0","0","0","0","3770","3442","0","0","1316","1474","0","0","0","0","0","0","0","0"
"202004","서정리","1413","1515","0","0","0","0","796","1000","0","0","617","515","0","0","0","0","0","0","0","0"
"202004","평택","103943","100765","0","0","3116","1591","88827","86541","0","0","2400","1547","0","0","9600","11086","0","0","0","0"
"202004","덕소","915","1041","0","0","0","0","435","535","0","0","480","506","0","0","0","0","0","0","0","0"
"202004","양평","21811","20919","0","0","0","0","10551","10152","0","0","4979","4126","0","0","181","587","0","0","6100","6054"
"202004","용문","6049","5659","0","0","0","0","4518","4393","0","0","1085","953","0","0","446","313","0","0","0","0"
"202004","지평","637","546","0","0","0","0","612","279","0","0","25","267","0","0","0","0","0","0","0","0"
"202004","석불","120","48","0","0","0","0","119","23","0","0","1","25","0","0","0","0","0","0","0","0"
"202004","일신","290","302","0","0","0","0","188","109","0","0","102","193","0","0","0","0","0","0","0","0"
"202004","매곡","308","250","0","0","0","0","248","119","0","0","60","131","0","0","0","0","0","0","0","0"
"202004","양동","3231","3460","0","0","0","0","2045","1996","0","0","1186","1464","0","0","0","0","0","0","0","0"
"202004","삼산","128","128","0","0","0","0","77","77","0","0","51","51","0","0","0","0","0","0","0","0"
"202004","행신","31825","29598","21121","16441","0","0","0","0","0","0","0","0","10704","10435","0","0","0","0","0","2722"
"202004","퇴계원","1451","816","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1451","816","0","0"
"202004","평내호평","22670","19315","0","0","0","0","0","0","0","0","0","0","0","0","0","0","22670","19315","0","0"
"202004","마석","2344","1321","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2344","1321","0","0"
"202004","가평","14259","15503","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14259","15503","0","0"
"202004","광명","199988","195814","142931","127502","0","0","0","0","0","0","0","0","52503","47120","0","0","0","0","4441","2253"
"202005","안양","11615","9481","0","0","0","0","10814","8779","0","0","801","702","0","0","0","0","0","0","0","0"
"202005","수원","319891","329963","31431","34684","14063","11962","215804","217326","0","0","3348","2452","0","0","55245","63539","0","0","0","0"
"202005","오산","5195","5227","0","0","0","0","4149","3944","0","0","1046","1283","0","0","0","0","0","0","0","0"
"202005","서정리","1474","1497","0","0","0","0","908","1122","0","0","566","375","0","0","0","0","0","0","0","0"
