"연월","역명/열차종별","합계_승차수(명)","합계_하차수(명)","KTX_승차수(명)","KTX_하차수(명)","새마을_승차수(명)","새마을_하차수(명)","무궁화_승차수(명)","무궁화_하차수(명))","통근열차_승차수(명)","통근열차_하차수(명)","누리로_승차수(명)","누리로_하차수(명)","KTX산천_승차수(명)","KTX산천_하차수(명)","ITX새마을_승차수(명)","ITX새마을_하차수(명)","ITX청춘열차_승차수(명)","ITX청춘열차_하차수(명)","KTX호남_승차수(명)","KTX호남_하차수(명)"
"201801","합 계","10307344","10307346","3481710","3481712","187456","187456","3868483","3868483","27207","27207","133038","133038","1045522","1045522","601898","601898","408585","408585","540442","540442"
"201801","송도교","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","서울","1197457","1250459","746963","773454","2548","2925","183916","170130","0","0","5844","9741","120028","131833","33744","38273","0","0","104414","124103"
"201801","용산","679145","725045","253078","274097","18406","19168","110943","109373","0","0","5701","8492","146597","152743","20068","17636","115202","123118","8596","18905"
"201801","노량진","243","366","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","영등포","324849","318330","5443","6960","16959","19912","241576","228155","0","0","11851","15996","0","0","47752","47305","0","0","1268","2"
"201801","신도림","916","1297","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","안양","16581","13176","0","0","0","0","13356","10179","0","0","3225","2997","0","0","0","0","0","0","0","0"
"201801","수원","430191","447995","39621","48068","20466","17923","276331","285598","0","0","16017","13430","0","0","72386","80509","0","0","3212","409"
"201801","오산","7216","7875","0","0","0","0","3930","4887","0","0","3286","2988","0","0","0","0","0","0","0","0"
"201801","서정리","2008","1805","0","0","0","0","976","1008","0","0","1032","797","0","0","0","0","0","0","0","0"
"201801","평택","165603","171640","0","0","5178","3033","134495","142527","0","0","8561","6812","0","0","16017","18173","0","0","0","0"
"201801","성환","1321","1700","0","0","0","0","765","692","0","0","556","1008","0","0","0","0","0","0","0","0"
"201801","천안","197466","203202","0","0","13605","10785","142591","151221","0","0","8608","7013","0","0","31548","33404","0","0","0","0"
"201801","전의","3102","3467","0","0","0","0","3102","3467","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","조치원","108740","110184","0","0","0","0","90984","92500","0","0","4582","5183","0","0","11969","11700","0","0","0","0"
"201801","부강","3571","3746","0","0","0","0","2717","3503","0","0","854","243","0","0","0","0","0","0","0","0"
"201801","신탄진","50328","49673","0","0","0","0","48025","47282","0","0","2303","2391","0","0","0","0","0","0","0","0"
"201801","대전","579619","580900","286903","295204","0","0","171007","176538","0","0","0","0","58097","49858","47051","40995","0","0","13457","15568"
"201801","옥천","14574","14232","0","0","0","0","14574","14232","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","이원","1057","717","0","0","0","0","1057","717","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","지탄","34","9","0","0","0","0","34","9","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","심천","555","470","0","0","0","0","555","470","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","각계","27","1","0","0","0","0","27","1","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","영동","39426","39457","0","0","0","0","34402","34320","0","0","0","0","0","0","5024","5137","0","0","0","0"
"201801","황간","2786","2524","0","0","0","0","2786","2524","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","추풍령","1129","1006","0","0","0","0","1129","1006","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","김천","67884","67485","0","0","0","0","53813","51509","0","0","0","0","0","0","14071","15976","0","0","0","0"
"201801","구미","182719","184639","0","0","0","0","135792","132965","0","0","0","0","0","0","46927","51674","0","0","0","0"
"201801","사곡","1155","1342","0","0","0","0","1155","1342","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","약목","2495","3620","0","0","0","0","2495","3620","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","왜관","58453","57124","0","0","0","0","56491","55193","0","0","0","0","0","0","1962","1931","0","0","0","0"
"201801","신동","191","158","0","0","0","0","191","158","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","대구","203391","203850","0","0","384","767","166046","169230","0","0","0","0","0","0","36961","33853","0","0","0","0"
"201801","동대구","720197","707871","378518","372867","426","501","210463","208914","0","0","0","0","78393","68674","35590","36766","0","0","16807","20149"
"201801","경산","79868","76040","1994","2284","0","0","70525","69050","0","0","0","0","1160","505","6189","4201","0","0","0","0"
"201801","남성현","367","344","0","0","0","0","367","344","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","청도","32587","32522","0","0","0","0","31390","31073","0","0","0","0","0","0","1197","1449","0","0","0","0"
"201801","상동","2832","2284","0","0","0","0","2832","2284","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","밀양","84491","83939","13614","16503","40","115","52798","53085","0","0","0","0","6835","3722","10759","10191","0","0","445","323"
"201801","삼랑진","11553","11444","0","0","99","50","11454","11394","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","원동","2008","2165","0","0","0","0","2008","2165","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","물금","28411","26741","0","0","261","272","23704","22653","0","0","0","0","0","0","4446","3816","0","0","0","0"
"201801","화명","4985","3820","0","0","14","14","4971","3806","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","구포","120068","121040","26623","37098","343","418","62553","66578","0","0","0","0","12543","67","18006","16879","0","0","0","0"
"201801","사상","1603","2058","0","0","10","10","1593","2048","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","부산","627068","602810","431092","399537","1206","1147","131894","137896","0","0","0","0","14608","23257","25386","21498","0","0","22882","19475"
"201801","구리","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","도농","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","덕소","1294","1724","0","0","0","297","1294","1427","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","양평","34023","32636","0","0","0","0","24638","24460","0","0","0","0","0","0","0","0","0","0","9385","8176"
"201801","용문","7197","7100","0","0","0","0","7197","7100","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","지평","1148","947","0","0","0","0","1148","947","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","석불","59","41","0","0","0","0","59","41","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","일신","313","245","0","0","0","0","313","245","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","매곡","402","316","0","0","0","0","402","316","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","양동","4655","4827","0","0","0","0","4655","4827","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","삼산","130","104","0","0","0","0","130","104","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","동화","1639","1371","0","0","0","0","1639","1371","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","만종","21770","20017","0","0","0","0","490","450","0","0","0","0","0","0","0","0","0","0","21280","19567"
"201801","원주","53039","51908","0","0","395","381","52644","51527","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","반곡","2146","2092","0","0","0","0","2146","2092","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","신림","402","370","0","0","0","0","402","370","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","제천","58496","56563","0","0","999","987","57497","55576","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","단양","5700","6467","0","0","113","126","5587","6341","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","희방사","163","384","0","0","0","0","163","384","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","풍기","6398","6003","0","0","68","59","6330","5944","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","영주","22445","23095","0","0","1452","243","20993","22852","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","안동","20584","20143","0","0","0","0","20584","20143","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","의성","3499","3439","0","0","0","0","3499","3439","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","탑리","797","686","0","0","0","0","797","686","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","화본","549","537","0","0","0","0","549","537","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","신녕","76","73","0","0","0","0","76","73","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","북영천","386","244","0","0","0","0","386","244","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","영천","29287","29146","0","0","78","84","29209","29062","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","건천","238","272","0","0","0","0","238","272","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","서경주","6689","6036","0","0","254","254","6435","5782","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","서대전","143940","138018","15171","9174","1365","1090","71918","73486","0","0","10211","9998","18174","16744","27101","26895","0","0","0","631"
"201801","계룡","23456","22592","3078","1060","0","0","8411","9623","0","0","2024","1854","6364","6689","3579","3366","0","0","0","0"
"201801","연산","1002","968","0","0","0","0","984","805","0","0","18","163","0","0","0","0","0","0","0","0"
"201801","논산","46229","46926","2054","1330","0","0","26891","27263","0","0","4108","3770","4754","4791","8422","9772","0","0","0","0"
"201801","강경","8887","8918","0","0","0","0","6476","6497","0","0","1395","905","0","0","1016","1516","0","0","0","0"
"201801","함열","3842","3582","0","0","0","0","2847","3154","0","0","995","428","0","0","0","0","0","0","0","0"
"201801","익산","182023","176681","56606","52084","5463","5677","57970","55938","0","0","6754","7255","40555","40905","13764","13842","0","0","911","980"
"201801","김제","15418","15852","0","0","0","0","8353","8929","0","0","2433","1705","0","0","4632","5218","0","0","0","0"
"201801","신태인","3860","3806","0","0","0","0","2684","2837","0","0","812","448","0","0","364","521","0","0","0","0"
"201801","정읍","39661","39066","10565","10267","0","0","10545","11820","0","0","3138","1944","8789","8395","6146","6273","0","0","478","367"
"201801","백양사","1763","1698","0","0","0","0","1326","1412","0","0","437","286","0","0","0","0","0","0","0","0"
"201801","장성","8669","8415","0","0","0","0","4637","4832","0","0","1012","687","0","0","3020","2896","0","0","0","0"
"201801","광주송정","193690","190918","96057","98151","0","0","24276","24929","0","0","0","0","66126","61526","3966","3828","0","0","3265","2484"
"201801","나주","29858","29834","10769","11849","0","0","4931","5030","0","0","0","0","12233","11756","1309","1053","0","0","616","146"
"201801","다시","144","253","0","0","0","0","144","253","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","함평","3096","3039","0","0","0","0","2395","2377","0","0","0","0","0","0","701","662","0","0","0","0"
"201801","무안","361","375","0","0","0","0","361","375","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","몽탄","556","547","0","0","0","0","556","547","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","일로","1440","1279","0","0","0","0","1160","1102","0","0","0","0","0","0","280","177","0","0","0","0"
"201801","임성리","175","109","0","0","0","0","175","109","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","목포","67642","64777","23298","23320","0","0","12653","11960","0","0","0","0","27824","26437","2915","2221","0","0","952","839"
"201801","삼례","3566","3476","0","0","0","0","3065","3011","0","0","501","465","0","0","0","0","0","0","0","0"
"201801","전주","117707","114958","40037","34004","1633","1477","36989","38777","0","0","5429","4785","28061","29913","5558","6002","0","0","0","0"
"201801","임실","2557","2690","0","0","0","0","1909","2228","0","0","648","462","0","0","0","0","0","0","0","0"
"201801","오수","2620","2582","0","0","0","0","2289","2293","0","0","331","289","0","0","0","0","0","0","0","0"
"201801","남원","24905","24481","7406","6012","464","363","8643","9714","0","0","1443","1063","5462","5954","1487","1375","0","0","0","0"
"201801","곡성","6786","6928","1445","993","139","135","3326","3560","0","0","585","573","782","1096","509","571","0","0","0","0"
"201801","구례구","6194","6600","1560","1256","83","98","2867","3532","0","0","445","351","751","910","488","453","0","0","0","0"
"201801","순천","94707","91911","29529","27399","1382","1640","30438","30080","0","0","3191","2871","26522","27148","3645","2773","0","0","0","0"
"201801","여천","29561","27720","7512","11365","0","0","8283","8133","0","0","1030","717","11406","6597","1330","908","0","0","0","0"
"201801","여수엑스포","60882","58680","21182","20870","858","866","18544","15376","0","0","2504","5348","15222","14467","2572","1753","0","0","0","0"
"201801","오송","206556","200450","141669","128844","494","337","12881","12730","0","0","0","0","47271","53423","0","0","0","0","4241","5116"
"201801","청주","8917","9820","0","0","312","290","8605","9530","0","0","0","0","0","0","0","0","0","0","0","0"
"201801","오근장","8876","8640","0","0","0","0","8876","8640","0","0","0","0","0","0","0","0","0","0","0","0"
